;Flow Measurements wherexxxx
;Location	Time	Value
;-----
aMC1150205	0	132; lote  23/24
		1	170
		2	132
		3	86
		4	54
		5	85
		6	171
		7	204
		8	157
		9	102
		10	82
		11	63
		12	49
		13	33
		14	23
		15	27
		16	28
		17	37
		18	50
		19	45
		20	31
		21	34
		22	63
		23	94
aMC2150205	0	50
		1	64
		2	46
		3	47
		4	25
		5	36
		6	55
		7	54
		8	28
		9	32
		10	23
		11	15
		12	6
		13	9
		14	14
		15	15
		16	19
		17	15
		18	9
		19	9
		20	14
		21	10
		22	19
		23	35
aMC3150205	0	689.20
		1	881.50
		2	755.00
		3	489.90
		4	298.80
		5	483.90
		6	696.20
		7	888.80
		8	707.80
		9	518.50
		10	422.30
		11	346.50
		12	263.20
		13	159.50
		14	122.90
		15	142.90
		16	143.80
		17	190.00
		18	273.20
		19	236.00
		20	168.40
		21	168.90
		22	353.00
		23	420.00
aMC4150205	0	305
		1	343
		2	297
		3	249
		4	209
		5	248
		6	342
		7	350
		8	306
		9	299
		10	238
		11	249
		12	207
		13	184
		14	176
		15	181
		16	176
		17	199
		18	184
		19	238
		20	244
		21	225
		22	251
		23	276
aMC405150114	0	140.9
		1	124.2
		2	83
		3	45.9
		4	75.6
		5	113.1
		6	147.8
		7	114.6
		8	88.4
		9	69.6
		10	58.5
		11	44.9
		12	28.1
		13	18.4
		14	20.9
		15	24.5
		16	31.7
		17	39
		18	37.5
		19	27.7
		20	30.3
		21	54.7
		22	69.8
		23	92
aMC6150205 	0	129
		1	144
		2	129
		3	122
		4	102
		5	113
		6	147
		7	165
		8	146
		9	124
		10	92
		11	124
		12	93
		13	79
		14	81
		15	86
		16	82
		17	74
		18	78
		19	115
		20	118
		21	84
		22	86
		23	123
aMC8150205	0	12
		1	4
		2	16
		3	10
		4	0
		5	25
		6	15
		7	24
		8	0
		9	33
		10	7
		11	3
		12	0
		13	21
		14	10
		15	8
		16	5
		17	4
		18	8
		19	12
		20	7
		21	9
		22	10
		23	6
aMC9150205	0	5
		1	9
		2	10
		3	7
		4	7
		5	7
		6	8
		7	7
		8	9
		9	13
		10	14
		11	6
		12	9
		13	3
		14	2
		15	3
		16	4
		17	1
		18	3
		19	3
		20	7
		21	6
		22	11
		23	4
aMC10150205 	0	23
		1	13
		2	16
		3	26
		4	11
		5	13
		6	23
		7	34
		8	27
		9	22
		10	16
		11	10
		12	9
		13	13
		14	11
		15	11
		16	8
		17	10
		18	7
		19	9
		20	9
		21	13
		22	19
		23	22
aMC11150205	0	6
		1	9
		2	64
		3	46
		4	4
		5	5
		6	5
		7	7
		8	57
		9	7
		10	8
		11	58
		12	54
		13	9
		14	100
		15	12
		16	12
		17	12
		18	105
		19	354
		20	362
		21	366
		22	354
		23	20
		


