"","Instalacao","PesoSeason","Pattern"
"1",2764,0.00197412634408602,"DMA1_pat"
"2",2766,0.000588547938771196,"DMA1_pat"
"3",2951,0.000235613530379207,"DMA1_pat"
"4",3579,0.000217662238623036,"DMA1_pat"
"5",3914,2.4004993038552e-05,"DMA1_pat"
"6",4168,0.000269299551726962,"DMA1_pat"
"7",4169,0.00167251753242077,"DMA1_pat"
"8",4171,0.00171377833655178,"DMA1_pat"
"9",4193,0,"DMA1_pat"
"10",4194,0.000670164235625293,"DMA1_pat"
"11",4206,0.00228234616604097,"DMA1_pat"
"12",4207,0.00064808641487752,"DMA1_pat"
"13",4208,0.000667366767139101,"DMA1_pat"
"14",4211,0.000409655779554132,"DMA1_pat"
"15",4213,0.000766969656728875,"DMA1_pat"
"16",4214,0.000630550626943239,"DMA1_pat"
"17",4215,0,"DMA1_pat"
"18",4252,0.00122034990943515,"DMA1_pat"
"19",4275,0.00345765535223545,"DMA1_pat"
"20",4302,0.0018968384288059,"DMA1_pat"
"21",4327,0,"DMA1_pat"
"22",4328,0.00103214210491266,"DMA1_pat"
"23",4333,0.000621761525073502,"DMA1_pat"
"24",4671,0.0009121171397199,"DMA1_pat"
"25",4672,0.00146568644672059,"DMA1_pat"
"26",4680,0.00177800929534478,"DMA1_pat"
"27",4826,0,"DMA1_pat"
"28",5023,0.000126008064516129,"DMA1_pat"
"29",5025,0.0011760752688172,"DMA1_pat"
"30",5325,8.4005376344086e-05,"DMA1_pat"
"31",5745,0.000736322803917237,"DMA1_pat"
"32",5831,0.000825004423874911,"DMA1_pat"
"33",6037,0.00116415746733385,"DMA1_pat"
"34",6074,0.000798633975376487,"DMA1_pat"
"35",6245,0.000677739863091463,"DMA1_pat"
"36",6502,0,"DMA1_pat"
"37",6731,0.000672553315115282,"DMA1_pat"
"38",6843,0,"DMA1_pat"
"39",7090,0.00282191817731603,"DMA1_pat"
"40",7204,0.00156609442171772,"DMA1_pat"
"41",7271,0.000939656653030634,"DMA1_pat"
"42",7317,4.84027105517909e-05,"DMA1_pat"
"43",7339,0.000939656653030634,"DMA1_pat"
"44",7356,0,"DMA1_pat"
"45",7505,0.000120417689667447,"DMA1_pat"
"46",7567,0,"DMA1_pat"
"47",7577,0.00151219356852032,"DMA1_pat"
"48",7649,0.00318387242257328,"DMA1_pat"
"49",7650,0.00110346359715067,"DMA1_pat"
"50",7708,0.0022637375219894,"DMA1_pat"
"51",7922,0.00114027973734653,"DMA1_pat"
"52",7944,0.000368161401958619,"DMA1_pat"
"53",8092,0.000193610842207164,"DMA1_pat"
"54",8165,0.000456880316681862,"DMA1_pat"
"55",8166,0.00195585280810642,"DMA1_pat"
"56",8397,0.00156739358805024,"DMA1_pat"
"57",8409,0.000264054923424072,"DMA1_pat"
"58",8410,0.000281717974409585,"DMA1_pat"
"59",8827,0.000867007112046954,"DMA1_pat"
"60",9148,0,"DMA1_pat"
"61",9507,0.000304059262794749,"DMA1_pat"
"62",9510,0.00211773526998107,"DMA1_pat"
"63",9943,0.000861820564070773,"DMA1_pat"
"64",10038,0.00159295682001183,"DMA1_pat"
"65",10248,0.000229213507999459,"DMA1_pat"
"66",10249,0.000902740453911034,"DMA1_pat"
"67",10250,0.0018516415757365,"DMA1_pat"
"68",10251,0.0011760752688172,"DMA1_pat"
"69",10252,0.000156020355459742,"DMA1_pat"
"70",10253,0.000487629659411465,"DMA1_pat"
"71",10254,0,"DMA1_pat"
"72",10256,0.00168489737844674,"DMA1_pat"
"73",10257,0.0779220779220779,"DMA1_pat"
"74",10258,0.000987828628586902,"DMA1_pat"
"75",10259,0.00163626677136841,"DMA1_pat"
"76",10262,0.00288045397313609,"DMA1_pat"
"77",10263,0.00198781704447408,"DMA1_pat"
"78",10264,0.0013505632017539,"DMA1_pat"
"79",10265,0.000824256269691107,"DMA1_pat"
"80",10266,0.00230430994162915,"DMA1_pat"
"81",10267,0.00201247339736966,"DMA1_pat"
"82",10268,0.000881842800373385,"DMA1_pat"
"83",10269,0,"DMA1_pat"
"84",10270,0,"DMA1_pat"
"85",10271,0,"DMA1_pat"
"86",10272,3.68161401958619e-05,"DMA1_pat"
"87",10273,0.000867714269660054,"DMA1_pat"
"88",10274,0,"DMA1_pat"
"89",10275,0.00212810836593343,"DMA1_pat"
"90",10276,0.0031802347161238,"DMA1_pat"
"91",10277,7.36322803917237e-05,"DMA1_pat"
"92",10278,0,"DMA1_pat"
"93",10280,0,"DMA1_pat"
"94",10281,0.00274309934894813,"DMA1_pat"
"95",10282,0.000940639392438677,"DMA1_pat"
"96",10283,0.000730625951578462,"DMA1_pat"
"97",10284,0.00126110125388648,"DMA1_pat"
"98",10285,0.000122034990943515,"DMA1_pat"
"99",10286,0,"DMA1_pat"
"100",10287,0.000560201346267035,"DMA1_pat"
"101",10288,0.00115734508402143,"DMA1_pat"
"102",10289,0,"DMA1_pat"
"103",10292,0.00124554160995793,"DMA1_pat"
"104",10294,0.000144815407180686,"DMA1_pat"
"105",10308,0.000313635807399924,"DMA1_pat"
"106",10309,0.00112990664139417,"DMA1_pat"
"107",10310,0.000916509704686532,"DMA1_pat"
"108",10311,0.00180901441633451,"DMA1_pat"
"109",10312,0.00345246880425927,"DMA1_pat"
"110",10316,0.00449136951978566,"DMA1_pat"
"111",10317,0.00328394774720851,"DMA1_pat"
"112",10318,0,"DMA1_pat"
"113",10319,0.00149237119101401,"DMA1_pat"
"114",10320,0.000472912970207429,"DMA1_pat"
"115",10321,0.00148718464303783,"DMA1_pat"
"116",10911,0.000613637723927594,"DMA1_pat"
"117",14144,0.000388907593863343,"DMA1_pat"
"118",14146,0.00269994823008375,"DMA1_pat"
"119",14147,0.00177652721662854,"DMA1_pat"
"120",14148,0.000110448420587586,"DMA1_pat"
"121",14149,0,"DMA1_pat"
"122",14150,0.00275347244490049,"DMA1_pat"
"123",14151,0.000900591218028319,"DMA1_pat"
"124",14152,0.00289239597320114,"DMA1_pat"
"125",14153,0.000220896841175171,"DMA1_pat"
"126",14154,0.00122428511369062,"DMA1_pat"
"127",14155,0.000716510517049009,"DMA1_pat"
"128",14156,7.24077035903429e-05,"DMA1_pat"
"129",14157,0.00294584363597199,"DMA1_pat"
"130",14158,0,"DMA1_pat"
"131",14159,0.00193884111697794,"DMA1_pat"
"132",14160,0.000156020355459742,"DMA1_pat"
"133",14162,0.000864491053332177,"DMA1_pat"
"134",14163,0.000747296579992607,"DMA1_pat"
"135",14165,0.000186032646403355,"DMA1_pat"
"136",14167,0.000114017667287699,"DMA1_pat"
"137",14170,0,"DMA1_pat"
"138",14171,4.8009986077104e-05,"DMA1_pat"
"139",14172,0.00222152503280656,"DMA1_pat"
"140",14174,0.001655195395726,"DMA1_pat"
"141",14175,0.00165000884774982,"DMA1_pat"
"142",14176,0.000132408086895877,"DMA1_pat"
"143",14177,0.00029247269243882,"DMA1_pat"
"144",14178,0.00066218021916292,"DMA1_pat"
"145",14179,0.00114546628532271,"DMA1_pat"
"146",14182,0.000484027105517909,"DMA1_pat"
"147",14183,0.000458427015998917,"DMA1_pat"
"148",14184,6.6007681210595e-05,"DMA1_pat"
"149",14186,0,"DMA1_pat"
"150",14187,0.000677637947725073,"DMA1_pat"
"151",14188,0,"DMA1_pat"
"152",14189,0.000630550626943239,"DMA1_pat"
"153",14190,0.000973138131750622,"DMA1_pat"
"154",14191,0.000147264560783447,"DMA1_pat"
"155",14192,0.00142612565998221,"DMA1_pat"
"156",14193,0.000977455532634539,"DMA1_pat"
"157",14194,0,"DMA1_pat"
"158",14195,0.00156693025471786,"DMA1_pat"
"159",14196,0.000180025348498294,"DMA1_pat"
"160",14197,0.000770312110949955,"DMA1_pat"
"161",14198,4.2002688172043e-05,"DMA1_pat"
"162",14199,0.00253827245606409,"DMA1_pat"
"163",14200,0.000588547938771196,"DMA1_pat"
"164",14201,0.00168010752688172,"DMA1_pat"
"165",14202,2.4004993038552e-05,"DMA1_pat"
"166",14203,0.000714094096088115,"DMA1_pat"
"167",14204,0.00034882155013584,"DMA1_pat"
"168",14205,0.00185821553467614,"DMA1_pat"
"169",14206,0.00148208904537364,"DMA1_pat"
"170",14207,0.00124366226027897,"DMA1_pat"
"171",14208,0.00128682034252787,"DMA1_pat"
"172",14209,0.000182463399703242,"DMA1_pat"
"173",14210,3.68161401958619e-05,"DMA1_pat"
"174",14211,9.68054211035818e-05,"DMA1_pat"
"175",14212,0.000388907593863343,"DMA1_pat"
"176",14213,0,"DMA1_pat"
"177",14214,0.000709369455311144,"DMA1_pat"
"178",14215,0.000803785796924737,"DMA1_pat"
"179",14216,0.00105108781302626,"DMA1_pat"
"180",14217,0.000593734486747377,"DMA1_pat"
"181",14218,0.000871248789932236,"DMA1_pat"
"182",14219,0.000122034990943515,"DMA1_pat"
"183",14220,0.0013347335342782,"DMA1_pat"
"184",14221,0.000306818861963797,"DMA1_pat"
"185",14222,0,"DMA1_pat"
"186",14223,0.000909009800218997,"DMA1_pat"
"187",14224,0.00135029317820675,"DMA1_pat"
"188",14225,0.00106664745695481,"DMA1_pat"
"189",14226,0,"DMA1_pat"
"190",14228,0.000820882457007011,"DMA1_pat"
"191",14229,0.00143368633482185,"DMA1_pat"
"192",14230,0.000723291586954055,"DMA1_pat"
"193",14231,0.00119167278206289,"DMA1_pat"
"194",14232,0,"DMA1_pat"
"195",14233,0,"DMA1_pat"
"196",14235,0.00042002688172043,"DMA1_pat"
"197",14236,0.000216830386296342,"DMA1_pat"
"198",14239,0.000120417689667447,"DMA1_pat"
"199",14241,0.00788846943594931,"DMA1_pat"
"200",14245,0.000509729110403291,"DMA1_pat"
"201",14246,0.000504032258064516,"DMA1_pat"
"202",14248,0.00239977082041828,"DMA1_pat"
"203",14249,0.00164438773404534,"DMA1_pat"
"204",14250,0.000199640344907853,"DMA1_pat"
"205",14251,0,"DMA1_pat"
"206",14253,0.00134510663023056,"DMA1_pat"
"207",14254,7.24077035903429e-05,"DMA1_pat"
"208",14255,0.00173542853932011,"DMA1_pat"
"209",14256,0.000897653964858591,"DMA1_pat"
"210",14257,0.00200425962793809,"DMA1_pat"
"211",14258,0.000994459385962173,"DMA1_pat"
"212",14259,0.00281990529444306,"DMA1_pat"
"213",14260,0.0010845446559564,"DMA1_pat"
"214",14262,8.48261262729659e-05,"DMA1_pat"
"215",14263,0.000236456485103715,"DMA1_pat"
"216",14264,0.000511313104485917,"DMA1_pat"
"217",14265,0.00128754429812998,"DMA1_pat"
"218",14266,0.00177601691226595,"DMA1_pat"
"219",14267,0.00015763765673581,"DMA1_pat"
"220",14268,0.00189165188082972,"DMA1_pat"
"221",14269,0.00159598502349354,"DMA1_pat"
"222",14271,0,"DMA1_pat"
"223",14272,0.00113409677922685,"DMA1_pat"
"224",14273,0.0023943226158783,"DMA1_pat"
"225",14274,0.000408870330604758,"DMA1_pat"
"226",14275,0.00337832621950495,"DMA1_pat"
"227",14277,0,"DMA1_pat"
"228",14280,0.00134938502832984,"DMA1_pat"
"229",14282,0.00320438828695724,"DMA1_pat"
"230",14283,0.000504032258064516,"DMA1_pat"
"231",14285,0.000903823252242816,"DMA1_pat"
"232",14286,0.000362464549619844,"DMA1_pat"
"233",14287,0.000667366767139101,"DMA1_pat"
"234",14288,0.00199172720546494,"DMA1_pat"
"235",14289,0.00144366144791649,"DMA1_pat"
"236",14290,0.000988059363582425,"DMA1_pat"
"237",14291,0.00142554732199824,"DMA1_pat"
"238",14292,0.000244069981887029,"DMA1_pat"
"239",14293,0,"DMA1_pat"
"240",14295,0.000147264560783447,"DMA1_pat"
"241",14296,0,"DMA1_pat"
"242",14297,0.000528109846848144,"DMA1_pat"
"243",14298,0.00118147734011121,"DMA1_pat"
"244",14299,0.000755383086372946,"DMA1_pat"
"245",14300,4.2002688172043e-05,"DMA1_pat"
"246",14301,0.00128682034252787,"DMA1_pat"
"247",14302,0.00109309050119831,"DMA1_pat"
"248",14303,0.000866536096235994,"DMA1_pat"
"249",14304,0.00124035506198175,"DMA1_pat"
"250",14305,0.00113414517639024,"DMA1_pat"
"251",14306,0.00111406742809855,"DMA1_pat"
"252",14307,0.00372055488158267,"DMA1_pat"
"253",14308,0.0013347335342782,"DMA1_pat"
"254",14309,0.0052912480976674,"DMA1_pat"
"255",14310,0.000204030341536846,"DMA1_pat"
"256",14311,0,"DMA1_pat"
"257",14312,0.0013347335342782,"DMA1_pat"
"258",14313,0.000672553315115282,"DMA1_pat"
"259",14316,0.000481670758669788,"DMA1_pat"
"260",14317,0.000746185595507006,"DMA1_pat"
"261",14318,0,"DMA1_pat"
"262",14319,0,"DMA1_pat"
"263",14320,0.000360860344527654,"DMA1_pat"
"264",14322,0.00120846342135917,"DMA1_pat"
"265",14323,0.00141355236264611,"DMA1_pat"
"266",14324,0.002564205195945,"DMA1_pat"
"267",14325,0.000483286066159792,"DMA1_pat"
"268",14327,0.00108169679652076,"DMA1_pat"
"269",14328,0.000569777890872209,"DMA1_pat"
"270",14329,0.000126008064516129,"DMA1_pat"
"271",14330,0.0042458436359145,"DMA1_pat"
"272",14332,0.000432089874693936,"DMA1_pat"
"273",14334,0.000268086077323395,"DMA1_pat"
"274",14335,0.00211254872200489,"DMA1_pat"
"275",14337,0.00015763765673581,"DMA1_pat"
"276",14338,0.000394094141839524,"DMA1_pat"
"277",14339,0.00308430740230065,"DMA1_pat"
"278",14340,0.00119807280444264,"DMA1_pat"
"279",14341,0.00123617244644951,"DMA1_pat"
"280",14342,0.00148553660290596,"DMA1_pat"
"281",14343,0,"DMA1_pat"
"282",14344,0.00130818742556516,"DMA1_pat"
"283",14345,3.68161401958619e-05,"DMA1_pat"
"284",14346,0.000736322803917237,"DMA1_pat"
"285",14347,0.000548129244681778,"DMA1_pat"
"286",14348,0.000384424215928135,"DMA1_pat"
"287",14349,0.00152409173354568,"DMA1_pat"
"288",14350,0.000509729110403291,"DMA1_pat"
"289",14351,6.6007681210595e-05,"DMA1_pat"
"290",14352,0.0214026223629869,"DMA1_pat"
"291",14353,9.04053987238339e-05,"DMA1_pat"
"292",14357,0.000336021505376344,"DMA1_pat"
"293",14360,0.00130127824792597,"DMA1_pat"
"294",14361,8.48261262729659e-05,"DMA1_pat"
"295",14362,0.000630088719744029,"DMA1_pat"
"296",14363,3.68161401958619e-05,"DMA1_pat"
"297",14364,0.000588037634408602,"DMA1_pat"
"298",14366,0,"DMA1_pat"
"299",14367,0.00143246760203525,"DMA1_pat"
"300",14368,0,"DMA1_pat"
"301",14369,0.00015763765673581,"DMA1_pat"
"302",14370,0.000601695723862548,"DMA1_pat"
"303",14371,0.000903823252242816,"DMA1_pat"
"304",14372,0.00133992008225438,"DMA1_pat"
"305",14374,0,"DMA1_pat"
"306",14375,0,"DMA1_pat"
"307",14377,0,"DMA1_pat"
"308",14379,0.000862051299066296,"DMA1_pat"
"309",14380,0,"DMA1_pat"
"310",14381,0.000377691543186473,"DMA1_pat"
"311",14383,0.000903823252242816,"DMA1_pat"
"312",14384,0.000352091453667481,"DMA1_pat"
"313",14385,0.000377737946563793,"DMA1_pat"
"314",14387,0.00136218051096564,"DMA1_pat"
"315",14389,0,"DMA1_pat"
"316",14394,0.00157075545365361,"DMA1_pat"
"317",14395,0.00192321742700015,"DMA1_pat"
"318",14396,0.00219893221278456,"DMA1_pat"
"319",14398,0.00042002688172043,"DMA1_pat"
"320",14399,0.00226353838616825,"DMA1_pat"
"321",14400,0.00135019011373721,"DMA1_pat"
"322",14402,0.00188646533285354,"DMA1_pat"
"323",15406,0.000852140954996059,"DMA1_pat"
"324",15493,0.000241643033079896,"DMA1_pat"
"325",15494,0.000632837791066837,"DMA1_pat"
"326",15499,0.00173401422409391,"DMA1_pat"
"327",15500,0.00131509890141065,"DMA1_pat"
"328",15501,0.000783001735702868,"DMA1_pat"
"329",15503,0.00118228242551857,"DMA1_pat"
"330",15510,0.00199691375344112,"DMA1_pat"
"331",16305,4.8009986077104e-05,"DMA1_pat"
